hundred_block,street_name,block,n_permits,n_types,first_date,last_date,mean_gap,duration,duration_wk,duration_mn,permits_mn,permits_wk,street_address,lon,lat
5600,APPLETREE ST,5600 APPLETREE ST,5,1,2008-06-14T00:00:00Z,2015-08-22T00:00:00Z,656.25,2625,375,87.5,0.0571428571428571,0.0133333333333333,"5600 APPLETREE ST, Philadelphia, PA",-75.2324647,39.9629674
100,APSLEY ST,100 APSLEY ST,15,1,2006-07-15T00:00:00Z,2015-09-19T00:00:00Z,239.5,3353,479,111.766666666667,0.13420817178646,0.0313152400835073,"100 APSLEY ST, Philadelphia, PA",-75.1611618,40.0240836
200,APSLEY ST,200 APSLEY ST,9,1,2006-08-05T00:00:00Z,2015-09-12T00:00:00Z,415.625,3325,475,110.833333333333,0.081203007518797,0.0189473684210526,"200 APSLEY ST, Philadelphia, PA",-75.1632088,40.022964
1200,ARAMINGO AVE,1200 ARAMINGO AVE,1,1,2007-04-03T00:00:00Z,2007-04-03T00:00:00Z,,0,0,0,Inf,Inf,"1200 ARAMINGO AVE, Philadelphia, PA",-75.1233005,39.9733054
3100,ARBOR ST,3100 ARBOR ST,1,1,2006-09-02T00:00:00Z,2006-09-02T00:00:00Z,,0,0,0,Inf,Inf,"3100 ARBOR ST, Philadelphia, PA",-75.1230434,39.9961246
3400,ARBOR ST,3400 ARBOR ST,13,3,2007-08-04T00:00:00Z,2015-05-25T00:00:00Z,237.583333333333,2851,407.285714285714,95.0333333333333,0.136794107330761,0.0319186250438443,"3400 ARBOR ST, Philadelphia, PA",-75.1219064,40.0007732
3900,ARCADIA ST,3900 ARCADIA ST,1,1,2011-07-30T00:00:00Z,2011-07-30T00:00:00Z,,0,0,0,Inf,Inf,"3900 ARCADIA ST, Philadelphia, PA",-75.0938853,40.0035793
500,ARCH ST,500 ARCH ST,6,1,2007-06-14T00:00:00Z,2014-11-01T00:00:00Z,539.4,2697,385.285714285714,89.9,0.0667408231368187,0.0155728587319244,"500 ARCH ST, Philadelphia, PA",-75.1486877,39.9524424
3300,ARCH ST,3300 ARCH ST,1,1,2006-10-14T00:00:00Z,2006-10-14T00:00:00Z,,0,0,0,Inf,Inf,"3300 ARCH ST, Philadelphia, PA",-75.189549,39.957401
4900,ARCH ST,4900 ARCH ST,3,1,2010-08-28T00:00:00Z,2012-09-03T00:00:00Z,368.5,737,105.285714285714,24.5666666666667,0.122116689280868,0.028493894165536,"4900 ARCH ST, Philadelphia, PA",-75.219789,39.960781
